# Title: Global Land and Ocean May Average Temperature Departures
# Units: Degrees Celsius
# Base Period: 1901-2000
Year,Departure from Average
1850,-0.26
1851,-0.19
1852,-0.06
1853,-0.04
1854,-0.07
1855,-0.11
1856,-0.17
1857,-0.37
1858,-0.26
1859,0.05
1860,-0.18
1861,-0.41
1862,-0.26
1863,-0.29
1864,-0.12
1865,-0.21
1866,-0.34
1867,-0.33
1868,-0.22
1869,0.04
1870,-0.25
1871,-0.22
1872,-0.13
1873,-0.17
1874,-0.29
1875,-0.17
1876,-0.43
1877,-0.14
1878,0.01
1879,-0.15
1880,-0.17
1881,0.05
1882,-0.12
1883,-0.05
1884,-0.26
1885,-0.22
1886,-0.23
1887,-0.36
1888,-0.17
1889,0.05
1890,-0.27
1891,-0.13
1892,-0.38
1893,-0.34
1894,-0.26
1895,-0.26
1896,-0.25
1897,-0.1
1898,-0.29
1899,-0.2
1900,-0.11
1901,-0.1
1902,-0.2
1903,-0.28
1904,-0.45
1905,-0.22
1906,-0.19
1907,-0.43
1908,-0.35
1909,-0.38
1910,-0.31
1911,-0.43
1912,-0.21
1913,-0.36
1914,-0.14
1915,-0.02
1916,-0.2
1917,-0.51
1918,-0.4
1919,-0.17
1920,-0.11
1921,-0.17
1922,-0.31
1923,-0.26
1924,-0.16
1925,-0.21
1926,-0.21
1927,-0.2
1928,-0.2
1929,-0.33
1930,-0.16
1931,-0.14
1932,-0.12
1933,-0.22
1934,-0.06
1935,-0.23
1936,-0.13
1937,-0.04
1938,-0.06
1939,-0.03
1940,0.19
1941,0.18
1942,0.11
1943,0.05
1944,0.19
1945,0.1
1946,-0.01
1947,-0
1948,0.14
1949,0.01
1950,-0.01
1951,0.04
1952,0.02
1953,0.17
1954,-0.15
1955,-0.17
1956,-0.25
1957,0.09
1958,0.09
1959,0.1
1960,-0.09
1961,0.15
1962,-0.06
1963,-0.01
1964,-0.21
1965,-0.09
1966,-0.06
1967,0.19
1968,-0.07
1969,0.21
1970,0.02
1971,-0.05
1972,0.02
1973,0.23
1974,0.02
1975,0.12
1976,-0.17
1977,0.28
1978,0.12
1979,0.12
1980,0.37
1981,0.27
1982,0.18
1983,0.35
1984,0.34
1985,0.19
1986,0.26
1987,0.3
1988,0.44
1989,0.18
1990,0.48
1991,0.42
1992,0.32
1993,0.28
1994,0.34
1995,0.33
1996,0.34
1997,0.39
1998,0.67
1999,0.31
2000,0.37
2001,0.55
2002,0.61
2003,0.57
2004,0.39
2005,0.62
2006,0.54
2007,0.62
2008,0.51
2009,0.61
2010,0.76
2011,0.54
2012,0.73
2013,0.65
2014,0.81
2015,0.8
2016,0.93
2017,0.9
2018,0.85
2019,0.92
2020,1.01
2021,0.83
2022,0.82
2023,0.96
2024,1.15
2025,1.06
2026,1.07
